text,ground_truth,anthropic_prediction,anthropic_confidence
عجز الموارد المالية لتنزيل الاختصاص,neutral,neutral,0.5
نقص الموارد البشرية المخنصة وكدا الوسائل التقنية في تتبع وتقييم برنامج عمل الجماعة,negative,neutral,0.5
غياب تواصل حقيقي بين المواطن والجهة,negative,neutral,0.5
عدم وجود ولوجيات بعدة مرافق عمومية بتراب,negative,neutral,0.5
- اشكالية التواصل بين الجماعة و المجتمع المدني- عدم تفاعل المعلومة وبالتالي عدم المساهمة في تعزيز الفكر- اقصاء فئة من المجتمع المدني - - عدم اشراك المواطنين في قرارات الجماعة,negative,neutral,0.5
غياب العدالة المجالية على مستوى تنزيل المشاريع المبرمجة في إطار برنامج التنمية الجهوي؛ عدم ملائمة بعض المشاريع مع خصوصيات الجهة (كل إقليم)؛ عدم التحديد الدقيق للأولويات في مرحلة التنزيل (غياب الحكامة),negative,neutral,0.5
عدم تعميم نشر المعلومة,negative,neutral,0.5
قلة تواصل المجلس الجماعي مع وداديات الاحياء و الجمعيات البيئية و الساكنة حول تدبير النفايات المنزلية,neutral,neutral,0.5
عدم تنظيم مهرجان العيطة الجبلية -موسيقى الجبل- بمدينة وزان,negative,neutral,0.5
صعوبة الولوج للمعلومة,negative,neutral,0.5
"الفاعل الاقتصادي
عدم تواجد حي الصناعي وحرفي وتجاري
تعقيد المساطر الادارية
ارتفاع تكلفات كراء العقارات 
ضعف تمويل حاملي المشاريع 
قلة فرص الشغل
ضعف التجهيزات الاساسية
ضعف الوعاء العقاري لانشاء المشاريع",negative,neutral,0.5
صعوبة الوصول إلى الميزانية,negative,neutral,0.5
(' en dere d' azru ver chinfra (المسرحية at at yahia ola) en en en anque d' eclairage publique,neutral,neutral,0.5
- ضعف الإضافه - ليس الإضافه إلى الإكتئاب زائد المسار و تقييم الإضافه - عدم وجود ميزانيه تشاركيه زائده,negative,neutral,0.5
غياب الشبابيك الخدماتية الرقمية,negative,neutral,0.5
الفشل في تفعيل الموقع + + الموقع هو رسمي لـ + مجموعة + + + + + + + المجموعة + + + + + عدد + + ميزانية + + ميزانية: ليس لنشر ميزانية + + ميزانية + + + + + + + + + - من الصعب فهم ميزانية + + + + ميزانية + + + +,negative,neutral,0.5
"1- قلة الاهتمام و الاطلاع على ميزانية الجماعة
2- مشكل التواصل 
3- عدم فهم الميزانية (صعوبة فهم دلالات الفصول و الأبواب )",negative,neutral,0.5
ضعف الانارة ومشكل وسائل التنقل,negative,neutral,0.5
"- غياب بعض التجهيزات الاساسية في الاحياء ناقصة التجهيز 
- مناطق ذات الطابع القروي تعيق التطور في مجال التعمير
- تدهور بعض الاحياء من حيث البنية التحتية 
- ضعف الانارة العمومية (انارة تقليدية) 
- وجود شبكة الصرف الصحي قديمة تابعة ل(lydec)",negative,neutral,0.5
غلاء الفاتورة الطاقية للجماعة وسوء الانارة لمصابح الصوديوم القديمة.,negative,neutral,0.5
